summary_type	metric	threshold_or_percentile	count_or_value
percentile	query_coverage	0.00	0.3028
percentile	query_coverage	0.10	0.7331
percentile	query_coverage	0.25	0.7371
percentile	query_coverage	0.50	0.7450
percentile	query_coverage	0.75	0.8127
percentile	query_coverage	0.90	0.9721
percentile	query_coverage	1.00	0.9920
percentile	target_coverage	0.00	0.3323
percentile	target_coverage	0.10	0.6457
percentile	target_coverage	0.25	0.6691
percentile	target_coverage	0.50	0.6947
percentile	target_coverage	0.75	0.7447
percentile	target_coverage	0.90	0.9612
percentile	target_coverage	1.00	0.9921
percentile	full_score	0.00	30.6000
percentile	full_score	0.10	85.5000
percentile	full_score	0.25	98.2000
percentile	full_score	0.50	110.0000
percentile	full_score	0.75	125.4000
percentile	full_score	0.90	151.5000
percentile	full_score	1.00	375.1000
joint_coverage_count	query_and_target_coverage	0.70	1960
joint_coverage_count	query_and_target_coverage	0.80	990
joint_coverage_count	query_and_target_coverage	0.90	861
joint_coverage_count	query_and_target_coverage	0.95	560
reported_domain_count	domain_count	1	4315
reported_domain_count	domain_count	2	116
