sequence_sha256	sequence_length	group_size	accessions
011460b5a89763693916a54f6cd423294f94bc69bfe8529db9dad1dad0f5b164	257	3	A0A0C1R0U2,A0ABW8WMZ9,A0ABW8XC56
f46d0ab33e6dd81ffb39331e8a52df053d9549baaf477cb8980396f23f975298	300	3	A0A0H2Z4Z6,A0A0H3ERZ1,Q3YVF2
7dffb665e65eb91a41f2aba4c482c2a2ec7f9d6ebedb58dd4659d5190c85e099	275	3	A0A543EJZ8,A0ACC6IS13,A0ACC6J5W0
a01f1d5c5d35f03b781fb1980286c9adef4d5b49e0c473be4466b7c688f0b841	268	3	A0A5R8YVQ1,A0ABX9LA80,A0ABY3LQ79
5ab366ec792a739c7ac6edd44887329f81a1c87e03e7dcfd8b5cfba5b4280216	263	3	A5IJC7,D2C6G6,Q9WZC8
6bf3ab5f82c0926727c758be6d486fe340c97d0dd7eb92252e06d6b079f6bb35	280	2	A0A024QE08,A0ABQ2DS65
6bca5a8b5ba65c107994a87f363f320b4029e29bc17efafe0fce01311025012a	283	2	A0A0A1ML83,A0ABV9JUU1
0b162aa1cf6239915503d7772ee0a30f007a5c33b6190070eb6fd195bdcde195	278	2	A0A0A2H0I0,A0ABV9L809
8763b7e2a37001e74e017ae827e8d9079b983473bab9ce027b988857834ece20	284	2	A0A0C5CS39,A0AAU7WF38
a7249bf7c46b9ba0d9583fc1d2523c8bd1efd2ac92742af5794ceab086c130cc	282	2	A0A0H2XFB9,Q2FUT0
e484fc539ec2d487123a504b258f528cf17a512bbc77df373fb5952e22515878	299	2	A0A0H3DLS3,A0AAU8P1K9
744758e9936c4bd3c96be0eaa8f73492ce076f47e27449eaa588bf1c07024518	280	2	A0A0H3GKL3,Q8Y468
9b78438bf6b0ed8fd40ea1edc3d9f5944b1a531da53eb8a1b66aee6290a291c6	284	2	A0A0W7V1I1,F5X316
ac02e3c2c1387dac885d23b2786041757c5fcf8864e84d7e6d06593cd40bb371	255	2	A0A0X8D5X9,H7GIY7
31924c6ce4b4a6643e6f2af39f607667adf7ab82e4f7ae2f22bd69f5d926e62f	260	2	A0A0X8X337,A0A839SLG4
74c5349f2f3ee788f617f911ab855ce525f6c109f2d94d65ac63eb215757b270	268	2	A0A171DMA2,A0ABQ4HC42
48a0d939946de246bdbdd724895cc97e16abd778efd50107219269f9f9d6c341	279	2	A0A1H3I038,K2FJ56
3e77b73b90c9ef0b322ae867e4a3aee510952695631d74ca5d2bdf76410a0b59	259	2	A0A1H3QN11,U5C2M2
8482a5939faa0358387ccf9a565d206654aa7207657102e3ce340c641a0c6f0b	288	2	A0A1I1IPY7,A0A1Y1SZT0
406218ec31ab1b9e49dd3dae8e9ac4aa39bf7b8485d538cd2c021ca13c5e7e59	317	2	A0A1J1LNS1,A0A9W4G7P2
a2af3f625cb29617d4dbb72b68d129eaf7959ff250fbe694665af144fde1410e	275	2	A0A1M7N3E2,A0A1N7HW77
92323b8dbbbe152e7f6be5d0f0020c36d77b099a7c5aa3459645012ea7e425f5	245	2	A0A1T2L420,A0A6N0HV43
f86eb5f326319e848aa727bda09f7bf3aea8cefadea7903b5487c5e5f2c63301	275	2	A0A1T3MYV1,A0AAJ3ND52
fc64b4648431231e9da34437bcf549a5f8c643ef0189e1ab06d24bef6517c899	273	2	A0A2N9PBL8,A0ABW8PRW8
d4f49ee795551fdaa437acd961761935e0f94f8798296cbcfc4f98404f405913	286	2	A0A2V3Y0S3,A0ABR7HB01
0d2aa7ef882c4288adac0f57646af51d435591cbe3690bed2a2e274c14f79819	280	2	A0A2V3Y446,A0ABR7HAU6
cd40b3f32b5176a1c6d8b16235a93515df38c20e315709a86dc141bb317dfe04	262	2	A0A363NNQ1,A0A420VVG8
0295415a930d011dda096beb84400c0e9a68ab327e662724efcbd79504c28348	265	2	A0A3A6Q3S7,M1XU32
98b6c4bf778208f1fa121a3d09708ec0df78d178886ea71db838c4ed153ec97b	282	2	A0A3B0BK07,A0ABM7V0H2
a95c78315a3a12d0aae1c1c61c5f5222884a3f475cb0ec832d835ab86ab72706	282	2	A0A412PLF3,A0ABS3GF23
a5107edc07a05e0531a04c125079051b00111ba02e8fee90ed42887b9903e773	262	2	A0A420AIH1,A0ABP7ZZR5
9dbf7c720c481ff8a781c57a2e939f6262d42d99bd366e9edd57d802785eee7c	262	2	A0A420G3N9,A0ABX7CM28
00defabd55036db7e6d1c7b6b05e417e95b500a3e3f231417e6dd301d634e697	281	2	A0A498D5D9,A0ABR7AB79
db0f6e797a46c0c6a5e84d2c6cb53171caeebe7e5e299045988ddf0dbb2cede2	260	2	A0A4V3DDB6,A0ABW5KYF1
7e79818dc77d7d9a2877bde3d27fbce34d4cf3ca218ddda0910cfc6096924c60	276	2	A0A4Y8AUE8,A0ABV5K222
2bd3b653968ca9d3574e3ba1d1499919dbe73ca9058088deca09a4c816d72649	280	2	A0A4Z1BQB6,A0A7H9DQ15
5e4146f45cbc61fd3b8a4291b7869f273faf1c16680a0ad0a2a51e1c44debf19	268	2	A0A5J5JVS1,A0ABQ4FJV7
cd3a868d7bc4779ea14ef2871d7e6d074ce366ac9a6742e46ec3427b213b9b62	278	2	A0A6N7VVC7,A0ABX2N9Z8
db8d50048f2c2b27fc8aa69819bc22a14b09591f7a794ffe0c3426e62de65057	262	2	A0A7G5E5R9,A0ACD5C903
c46aa7ebea4851324b965874c94f1af10819d036c69bed7c99928988ce358463	275	2	A0A7T7UZH4,A0AAP1BVM9
8348cd57d9a8f308013554bbd6891386c046a7be6735e7328fb5ae658f48f935	285	2	A0A7V7UX84,A0ABX8FHJ0
80e6f9da2a8f1980b9e12bd203998b9a76dfec25ddba88b6895406415851285d	276	2	A0A7W7N946,A0ABR6QK29
66f50c6447db81f34c75ab11ab0e158dfb883d3747547fd75aeae4cad1d00fc0	260	2	A0A7W9SZX0,A0ABR6JVT2
c76c5eea2d7c9dbf99a36b4765ef535033c9c1cee3ebd271a80459a1bd89fc42	260	2	A0A8G2C009,A0ABR9H0E5
3e24a6e9eb9d904c1628d7c803d74b3d97e17137ec14830f3f5311c7235551aa	277	2	A0A8H2LNL4,A0ABY3MEU3
991cb07c692b5edb5e7bd4770a75c8faef91fa6a8ab329b935e7f6ed709d1ccd	275	2	A0A9X2BL98,A0ABS5CUF5
a6247e07c589cde8fb52641d706db5487a962f47213b4cebf7c493926297760d	252	2	A0AAI8CKD0,A0ABX5QPW5
2cfdf1e78912029d9d611e12e4cb13f4d6ce425af7b210f260728a69ea6e8d23	280	2	A0AAN1C6C4,A0ABY9LC04
ff0107da30fcb8efc3fc483ceb543f85f7220037883a3699848422731f2daf14	279	2	A0AB35YUQ6,A0ABY8KVP3
35353238a949814e8df473e6a95b95d143346dc73a3a19bc759bb7a01aede3da	278	2	A0ABN1JP57,A0ABY2G3C8
babc045cfac72dea81a939480e4f68474881034ff8338093a65628cc5e996f83	280	2	A0ABR8A4J2,A0ABR8ASS2
ba4c17b7bbbb123b5f5534cfb0bf08e2cacbc7baabf4d8eddaceecd70e4d5e1e	267	2	A0ABR8EVL1,A0ABR8I1J5
857af93358afb5e748d150bddb4a269c769f8655527f40e4b3a4bab829a6f149	264	2	A0ABS3TDD0,A0ABS6WUL0
db06ca2087275a5d1a4f18082f3f07025dc8fe861e512255bff8de79a2a131bc	276	2	A0ABT8RTV0,A0ABY1SJT3
9400bfcd9a201d5c832e7c3887c9471a91efda9365f414a18314b52873424f5b	275	2	A0ABU7RGB3,A0ABZ2EJU9
62387d921aa9c36e3880b806a7e1666c7026771bb7118f649394c1f9ee3d00eb	276	2	A0ABV4TC17,A0ABV4TPK8
4fd0b40fb11ecc7737ff7f6430bc339b7fa2b3a95f8aaad944929e3778626786	262	2	A0ABV6HSG1,A0ABW6B7S8
a06614cba2a65ec8afd65472557e77259c0bdfe604d582557423d29fdd3a1041	280	2	A0ABX1WNZ6,A0ABY8V9R6
8fd1c311482e0d838421e72d1a8168d8f4845e197e388bc31e5ee283ffaf4142	272	2	A0ABX8AWL7,G2LG31
