accession	entry_name	full_evalue	full_score	query_coverage	target_coverage	reported_domain_count	reviewed	protein_names	organism
O58212	RSAMH_PYRHO	8.4e-51	170.8	0.9801	0.9844	1	reviewed	(R)-S-adenosyl-L-methionine hydrolase (EC 3.13.2.3) (S-adenosyl-L-methionine hydrolase (adenosine-forming)) (SAM hydrolase (adenosine-forming)) (S-adenosyl-L-methionine:hydroxide adenosyltransferase) (SAM hydroxide adenosyltransferase)	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
Q5SLF5	RSAMH_THET8	6.4e-38	128.6	0.9761	0.9804	1	reviewed	(R)-S-adenosyl-L-methionine hydrolase (EC 3.13.2.3) (S-adenosyl-L-methionine hydrolase (adenosine-forming)) (SAM hydrolase (adenosine-forming))	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)
Q59045	RSAMH_METJA	5.2e-36	122.4	0.7729	0.6996	1	reviewed	(R)-S-adenosyl-L-methionine hydrolase (EC 3.13.2.3) (S-adenosyl-L-methionine hydrolase (adenosine-forming)) (SAM hydrolase (adenosine-forming))	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)
A8M783	RSAMH_SALAI	2.8e-31	106.9	0.7092	0.6897	1	reviewed	(R)-S-adenosyl-L-methionine hydrolase (EC 3.13.2.3) (S-adenosyl-L-methionine hydrolase (adenosine-forming)) (SAM hydrolase (adenosine-forming)) (S-adenosyl-L-methionine:hydroxide adenosyltransferase) (SAM hydroxide adenosyltransferase)	Salinispora arenicola (strain CNS-205)
A4X4S2	RSAMH_SALTO	1.8e-30	104.2	0.7092	0.6897	1	reviewed	(R)-S-adenosyl-L-methionine hydrolase (EC 3.13.2.3)	Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440)
A4X3Q0	SALL_SALTO	1e-26	91.9	0.7450	0.6749	1	reviewed	Adenosyl-chloride synthase (EC 2.5.1.94) (5'-chloro-5'-deoxyadenosine synthase) (Chlorinase SalL)	Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440)
R4LHX8	FLA_ACTS9	5.2e-23	79.8	0.7331	0.6309	2	reviewed	Fluorinase (EC 2.5.1.63)	Actinoplanes sp. (strain N902-109)
Q70GK9	FLA_STRCT	1.2e-22	78.6	0.7371	0.6321	2	reviewed	Fluorinase (EC 2.5.1.63) (5'-fluoro-5'-deoxy-adenosine synthase) (5'-FDAS) (5'-fluorodeoxyadenosine synthase)	Streptantibioticus cattleyicolor (Streptomyces cattleya)
W0W999	FLA_STRSQ	1.4e-21	75.1	0.7410	0.6321	2	reviewed	Fluorinase (EC 2.5.1.63) ((R)-S-adenosyl-L-methionine hydrolase) (EC 3.13.2.3) (Chlorinase) (EC 2.5.1.94)	Streptomyces sp
A0A1G9FQX8	FLA_ACTMZ	3.6e-21	73.8	0.7331	0.6355	2	reviewed	Fluorinase (EC 2.5.1.63)	Actinopolyspora mzabensis
W8JNL4	FLA_NOCB7	4.2e-21	73.5	0.7331	0.6433	2	reviewed	Fluorinase (EC 2.5.1.63) (Chlorinase) (EC 2.5.1.94)	Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1)
