resource	accession_or_id	url_or_source	date_accessed	local_output_file	purpose
UniProtKB FASTA	O67940	https://rest.uniprot.org/uniprotkb/O67940.fasta	2026-05-26	data/O67940_AQUAE.fasta	query protein sequence
UniProtKB JSON	O67940	https://rest.uniprot.org/uniprotkb/O67940.json	2026-05-26	data/O67940_uniprot_record.json	current protein annotation record
InterPro API	IPR046470	https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR046470	2026-05-26	data/interpro_pfam/IPR046470.json	InterPro domain metadata
InterPro API	IPR046469	https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR046469	2026-05-26	data/interpro_pfam/IPR046469.json	InterPro domain metadata
InterPro API	IPR002747	https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR002747	2026-05-26	data/interpro_pfam/IPR002747.json	InterPro family metadata
InterPro API	IPR023227	https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR023227	2026-05-26	data/interpro_pfam/IPR023227.json	InterPro homologous superfamily metadata
InterPro API	IPR023228	https://www.ebi.ac.uk/interpro/api/entry/interpro/IPR023228	2026-05-26	data/interpro_pfam/IPR023228.json	InterPro homologous superfamily metadata
Pfam via InterPro API	PF20257	https://www.ebi.ac.uk/interpro/api/entry/pfam/PF20257	2026-05-26	data/interpro_pfam/PF20257.json	Pfam C-terminal SAM_HAT domain metadata
Pfam via InterPro API	PF01887	https://www.ebi.ac.uk/interpro/api/entry/pfam/PF01887	2026-05-26	data/interpro_pfam/PF01887.json	Pfam N-terminal SAM_HAT domain metadata
AlphaFoldDB API	O67940	https://alphafold.ebi.ac.uk/api/prediction/O67940	2026-05-26	data/alphafold/O67940_alphafold_api_prediction.json	identify current AlphaFold model version and download URLs
AlphaFoldDB PDB	O67940	API-reported v6 pdbUrl	2026-05-26	data/alphafold/AF-O67940-F1-model_v6.pdb	predicted structure coordinates for pLDDT extraction and structural comparison
AlphaFoldDB mmCIF	O67940	API-reported v6 cifUrl	2026-05-26	data/alphafold/AF-O67940-F1-model_v6.cif	predicted structure coordinates in modern mmCIF format
AlphaFoldDB bcif	O67940	API-reported v6 bcifUrl	2026-05-26	data/alphafold/AF-O67940-F1-model_v6.bcif	binary CIF structure file
AlphaFoldDB PAE	O67940	API-reported v6 paeDocUrl	2026-05-26	data/alphafold/AF-O67940-F1-predicted_aligned_error_v6.json	predicted aligned error matrix for structural confidence analysis
RCSB PDB	2Q6O	https://files.rcsb.org/download/2Q6O.cif	2026-05-26	data/pdb/2Q6O.cif	chlorinase-related reference structure in mmCIF format
RCSB PDB	2Q6O	https://files.rcsb.org/download/2Q6O.pdb	2026-05-26	data/pdb/2Q6O.pdb	chlorinase-related reference structure in PDB format
RCSB PDB	1RQP	https://files.rcsb.org/download/1RQP.cif	2026-05-26	data/pdb/1RQP.cif	fluorinase reference structure in mmCIF format
RCSB PDB	1RQP	https://files.rcsb.org/download/1RQP.pdb	2026-05-26	data/pdb/1RQP.pdb	fluorinase reference structure in PDB format
UniProtKB Swiss-Prot FASTA	Swiss-Prot current_release	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.fasta.gz	2026-07-04	data/databases/uniprot_sprot_2026-07-04/uniprot_sprot.fasta.gz	first-pass JackHMMER search database
UniProtKB REST API survey	PF01887+PF20257 candidate space	https://rest.uniprot.org/uniprotkb/search	2026-08-07	results/homolog_context/O67940_uniprot_pfam_broader_candidate_space_survey.tsv	Broader Pfam-constrained homolog candidate counts; exact queries stored in output
UniProtKB REST API FASTA	PF01887+PF20257 broader candidate set	https://rest.uniprot.org/uniprotkb/stream	2026-08-07	data/databases/O67940_uniprot_pfam_candidates/candidate_sequences.fasta	4432-sequence Pfam-constrained candidate set for direct O67940 similarity ranking
UniProtKB REST API metadata	PF01887+PF20257 broader candidate set	https://rest.uniprot.org/uniprotkb/stream	2026-08-07	data/databases/O67940_uniprot_pfam_candidates/candidate_metadata.tsv	Metadata accompanying the 4432-sequence broader candidate set
