target_id	target_accession	query_id	query_accession	full_evalue	full_score	full_bias	best_domain_evalue	best_domain_score	best_domain_bias	domain_exp	domain_reg	domain_clu	domain_ov	domain_env	domain_dom	domain_rep	domain_inc	description
sp|O58212|RSAMH_PYRHO	-	tr|O67940|O67940_AQUAE	-	2e-103	350.1	0.1	2.2e-103	350.0	0.1	1.0	1	0	0	1	1	1	1	(R)-S-adenosyl-L-methionine hydrolase OS=Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) OX=70601 GN=PH0463 PE=1 SV=1
sp|Q5SLF5|RSAMH_THET8	-	tr|O67940|O67940_AQUAE	-	5.9e-88	299.4	0.0	6.7e-88	299.3	0.0	1.0	1	0	0	1	1	1	1	(R)-S-adenosyl-L-methionine hydrolase OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) OX=300852 GN=TTHA0338 PE=1 SV=1
sp|Q70GK9|FLA_STRCT	-	tr|O67940|O67940_AQUAE	-	5.5e-86	293.0	0.1	2e-45	160.2	0.0	2.3	2	1	0	2	2	2	2	Fluorinase OS=Streptantibioticus cattleyicolor OX=29303 GN=flA PE=1 SV=1
sp|A0A1G9FQX8|FLA_ACTMZ	-	tr|O67940|O67940_AQUAE	-	4e-85	290.2	0.0	8.2e-46	161.4	0.0	2.3	2	1	0	2	2	2	2	Fluorinase OS=Actinopolyspora mzabensis OX=995066 GN=SAMN04487820_1174 PE=1 SV=1
sp|W0W999|FLA_STRSQ	-	tr|O67940|O67940_AQUAE	-	6.4e-85	289.5	0.2	3.9e-45	159.2	0.0	2.2	2	0	0	2	2	2	2	Fluorinase OS=Streptomyces sp. OX=1931 GN=flA1 PE=1 SV=1
sp|R4LHX8|FLA_ACTS9	-	tr|O67940|O67940_AQUAE	-	1.2e-83	285.3	0.0	4.8e-44	155.6	0.0	2.3	2	1	0	2	2	2	2	Fluorinase OS=Actinoplanes sp. (strain N902-109) OX=649831 GN=flA3 PE=1 SV=2
sp|W8JNL4|FLA_NOCB7	-	tr|O67940|O67940_AQUAE	-	2.6e-83	284.2	0.0	4.5e-45	158.9	0.0	2.3	2	1	0	2	2	2	2	Fluorinase OS=Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1) OX=1133849 GN=flA2 PE=1 SV=1
sp|A4X3Q0|SALL_SALTO	-	tr|O67940|O67940_AQUAE	-	6e-79	269.9	0.0	1.1e-78	269.0	0.0	1.4	1	1	0	1	1	1	1	Adenosyl-chloride synthase OS=Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440) OX=369723 GN=salL PE=1 SV=1
sp|A4X4S2|RSAMH_SALTO	-	tr|O67940|O67940_AQUAE	-	2.2e-78	268.1	0.0	2.8e-78	267.7	0.0	1.0	1	0	0	1	1	1	1	(R)-S-adenosyl-L-methionine hydrolase OS=Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440) OX=369723 GN=Strop_1405 PE=1 SV=1
sp|A8M783|RSAMH_SALAI	-	tr|O67940|O67940_AQUAE	-	3.1e-78	267.6	0.0	4e-78	267.2	0.0	1.0	1	0	0	1	1	1	1	(R)-S-adenosyl-L-methionine hydrolase OS=Salinispora arenicola (strain CNS-205) OX=391037 GN=Sare_1364 PE=1 SV=1
sp|Q59045|RSAMH_METJA	-	tr|O67940|O67940_AQUAE	-	1.7e-70	242.2	1.0	2.6e-70	241.7	1.0	1.2	1	0	0	1	1	1	1	(R)-S-adenosyl-L-methionine hydrolase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1651 PE=1 SV=1
