identity_threshold	accession	representative	cluster_size	is_representative
0.95	A0A1G9FQX8	A0A1G9FQX8	1	yes
0.95	A4X3Q0	B0L7F5	2	no
0.95	A4X4S2	A4X4S2	1	yes
0.95	A8M783	A8M783	2	yes
0.95	O58212	O58212	1	yes
0.95	O67940	O67940	1	yes
0.95	Q59045	Q59045	1	yes
0.95	Q5SLF5	Q72H50	4	no
0.95	Q70GK9	F8JPG4	2	no
0.95	R4LHX8	R4LHX8	1	yes
0.95	W0W999	A0A7Y7B3E7	2	no
0.95	W8JNL4	W8JNL4	1	yes
0.90	A0A1G9FQX8	A0A1G9FQX8	1	yes
0.90	A4X3Q0	B0L7F5	2	no
0.90	A4X4S2	A4X4S2	1	yes
0.90	A8M783	A8M783	2	yes
0.90	O58212	O58212	1	yes
0.90	O67940	O67940	1	yes
0.90	Q59045	Q59045	1	yes
0.90	Q5SLF5	Q72H50	4	no
0.90	Q70GK9	F8JPG4	2	no
0.90	R4LHX8	R4LHX8	3	yes
0.90	W0W999	A0A7Y7B3E7	2	no
0.90	W8JNL4	W8JNL4	1	yes
0.80	A0A1G9FQX8	A0ABP8UHB8	12	no
0.80	A4X3Q0	B0L7F5	2	no
0.80	A4X4S2	A4X4S2	4	yes
0.80	A8M783	A4X4S2	4	no
0.80	O58212	Q9UYD3	2	no
0.80	O67940	O67940	1	yes
0.80	Q59045	C7P6C6	4	no
0.80	Q5SLF5	A0ABY2K6M5	14	no
0.80	Q70GK9	A0ABT6ZNB1	6	no
0.80	R4LHX8	A0ABP8UHB8	12	no
0.80	W0W999	A0ABT6ZNB1	6	no
0.80	W8JNL4	A0ABP8UHB8	12	no
0.70	A0A1G9FQX8	A0ABP8Q8Y0	18	no
0.70	A4X3Q0	B0L7F5	2	no
0.70	A4X4S2	A0ABW7SE16	58	no
0.70	A8M783	A0ABW7SE16	58	no
0.70	O58212	A0A2Z2MHR2	28	no
0.70	O67940	O67940	1	yes
0.70	Q59045	C7P6C6	8	no
0.70	Q5SLF5	A0A1G7IDG7	15	no
0.70	Q70GK9	A0ABP8Q8Y0	18	no
0.70	R4LHX8	A0ABP8Q8Y0	18	no
0.70	W0W999	A0ABP8Q8Y0	18	no
0.70	W8JNL4	A0ABP8Q8Y0	18	no
