accession	target_id	is_query_self	full_evalue	full_score	full_bias	domain_rows	reported_domain_count	best_domain_evalue	best_domain_score	query_length	target_length	query_union_aligned_residues	target_union_aligned_residues	query_coverage	target_coverage	reviewed	entry_name	protein_names	gene_names	organism	organism_id	metadata_length
O67940	tr|O67940|O67940_AQUAE	yes	6.8e-168	554.4	11.7	1	1	7.6e-168	554.3	251	251	251	251	1.0000	1.0000	unreviewed	O67940_AQUAE	Uncharacterized protein	aq_2196	Aquifex aeolicus (strain VF5)	224324	251
A0A497XSZ7	tr|A0A497XSZ7|A0A497XSZ7_9AQUI	no	3.8e-113	375.1	2.3	1	1	4.1e-113	374.9	251	251	247	248	0.9841	0.9880	unreviewed	A0A497XSZ7_9AQUI	S-adenosyl-l-methionine hydroxide adenosyltransferase	BCF55_1726	Hydrogenivirga caldilitoris	246264	251
A0A1M6SRG8	tr|A0A1M6SRG8|A0A1M6SRG8_9AQUI	no	3.7e-102	339.1	1.8	1	1	4.6e-102	338.8	251	254	247	245	0.9841	0.9646	unreviewed	A0A1M6SRG8_9AQUI	Adenosyl-chloride synthase	SAMN05444391_1139	Thermocrinis minervae	381751	254
W0DBG5	tr|W0DBG5|W0DBG5_9AQUI	no	2.2e-100	333.2	1.9	1	1	2.7e-100	333.0	251	250	247	246	0.9841	0.9840	unreviewed	W0DBG5_9AQUI	SAM-dependent chlorinase/fluorinase	THERU_03230	Thermocrinis ruber	75906	250
A0A285NZU4	tr|A0A285NZU4|A0A285NZU4_9AQUI	no	3.2e-98	326.2	2.6	1	1	4e-98	325.8	251	259	246	245	0.9801	0.9459	unreviewed	A0A285NZU4_9AQUI	Adenosyl-chloride synthase	SAMN06265353_0638	Hydrogenobacter hydrogenophilus	35835	259
D3SNP4	tr|D3SNP4|D3SNP4_THEAH	no	2.8e-95	316.5	0.1	1	1	3.2e-95	316.3	251	252	246	244	0.9801	0.9683	unreviewed	D3SNP4_THEAH	SAM-dependent chlorinase/fluorinase	Thal_0145	Thermocrinis albus (strain DSM 14484 / JCM 11386 / HI 11/12)	638303	252
D3DK02	tr|D3DK02|D3DK02_HYDTT	no	2.2e-90	300.5	0.1	1	1	2.7e-90	300.2	251	253	245	244	0.9761	0.9644	unreviewed	D3DK02_HYDTT	Adenosyl-chloride synthase	HTH_1707	Hydrogenobacter thermophilus (strain DSM 6534 / IAM 12695 / TK-6)	608538	253
A0ABS1GHK4	tr|A0ABS1GHK4|A0ABS1GHK4_9AQUI	no	5.3e-85	282.9	5.3	1	1	6.4e-85	282.6	251	255	246	249	0.9801	0.9765	unreviewed	A0ABS1GHK4_9AQUI	SAM-dependent chlorinase/fluorinase	GWK41_04980	Persephonella atlantica	2699429	255
C0QQK1	tr|C0QQK1|C0QQK1_PERMH	no	1.6e-83	278.0	5.7	1	1	2e-83	277.7	251	255	245	247	0.9761	0.9686	unreviewed	C0QQK1_PERMH	DUF62-containing protein	PERMA_1166	Persephonella marina (strain DSM 14350 / EX-H1)	123214	255
A0A3M0BLR4	tr|A0A3M0BLR4|A0A3M0BLR4_9AQUI	no	5.2e-83	276.3	9.6	1	1	6.2e-83	276.1	251	252	245	247	0.9761	0.9802	unreviewed	A0A3M0BLR4_9AQUI	S-adenosyl-l-methionine hydroxide adenosyltransferase	CLV39_0875	Hydrogenothermus marinus	133270	252
