accession	entry_name	organism	organism_id	lineage	reviewed	protein_name	gene_names	protein_existence	annotation_score	sequence_length	phmmer_rank	full_evalue	full_score	query_coverage	target_coverage	reported_domain_count	uniprot_record_url
A0AAU9JH50	A0AAU9JH50_9CILI	Blepharisma stoltei	1481888	Eukaryota; Sar; Alveolata; Ciliophora; Postciliodesmatophora; Heterotrichea; Heterotrichida; Blepharismidae; Blepharisma	unreviewed	Uncharacterized protein	BSTOLATCC_MIC40987	3: Inferred from homology	1.0	260	161	1.5e-50	170.0	0.9562	0.9423	1	https://rest.uniprot.org/uniprotkb/A0AAU9JH50.json
B0E8J3	B0E8J3_ENTDS	Entamoeba dispar (strain ATCC PRA-260 / SAW760)	370354	Eukaryota; Amoebozoa; Evosea; Archamoebae; Mastigamoebida; Entamoebidae; Entamoeba	unreviewed	DUF62-containing protein	EDI_126890	3: Inferred from homology	1.0	248	2583	8.4e-31	105.3	0.9801	0.9798	1	https://rest.uniprot.org/uniprotkb/B0E8J3.json
C4M0V6	C4M0V6_ENTH1	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	294381	Eukaryota; Amoebozoa; Evosea; Archamoebae; Mastigamoebida; Entamoebidae; Entamoeba	unreviewed	DUF62-containing protein	EHI_100370	3: Inferred from homology	1.0	248	2846	5.1e-30	102.8	0.9801	0.9798	1	https://rest.uniprot.org/uniprotkb/C4M0V6.json
L7FJS4	L7FJS4_ENTIV	Entamoeba invadens IP1	370355	Eukaryota; Amoebozoa; Evosea; Archamoebae; Mastigamoebida; Entamoebidae; Entamoeba	unreviewed	Adenosyl-chloride synthase	EIN_284120	3: Inferred from homology	1.0	259	2017	5.1e-33	112.6	0.8207	0.7606	1	https://rest.uniprot.org/uniprotkb/L7FJS4.json
A0ABQ0DRK1	A0ABQ0DRK1_9EUKA	Entamoeba nuttalli	412467	Eukaryota; Amoebozoa; Evosea; Archamoebae; Mastigamoebida; Entamoebidae; Entamoeba	unreviewed	DUF62-containing protein	ENUP19_0252G0043	3: Inferred from homology	1.0	248	2957	1.1e-29	101.7	0.9801	0.9798	1	https://rest.uniprot.org/uniprotkb/A0ABQ0DRK1.json
A0AA35R949	A0AA35R949_GEOBA	Geodia barretti (Barrett's horny sponge)	519541	Eukaryota; Metazoa; Porifera; Demospongiae; Heteroscleromorpha; Tetractinellida; Astrophorina; Geodiidae; Geodia	unreviewed	Chlorinase MJ1651	GBAR_LOCUS5053	3: Inferred from homology	1.0	222	3031	1.6e-29	101.1	0.7092	0.8604	2	https://rest.uniprot.org/uniprotkb/A0AA35R949.json
A0AA35STV5	A0AA35STV5_GEOBA	Geodia barretti (Barrett's horny sponge)	519541	Eukaryota; Metazoa; Porifera; Demospongiae; Heteroscleromorpha; Tetractinellida; Astrophorina; Geodiidae; Geodia	unreviewed	Chlorinase MJ1651	GBAR_LOCUS19781	3: Inferred from homology	1.0	253	344	7.3e-47	157.9	0.9084	0.9763	1	https://rest.uniprot.org/uniprotkb/A0AA35STV5.json
A0AA35W2T7	A0AA35W2T7_GEOBA	Geodia barretti (Barrett's horny sponge)	519541	Eukaryota; Metazoa; Porifera; Demospongiae; Heteroscleromorpha; Tetractinellida; Astrophorina; Geodiidae; Geodia	unreviewed	Chlorinase MJ1651	GBAR_LOCUS2377	3: Inferred from homology	1.0	287	500	9.8e-44	147.7	0.7371	0.7003	1	https://rest.uniprot.org/uniprotkb/A0AA35W2T7.json
A0AA35WYZ5	A0AA35WYZ5_GEOBA	Geodia barretti (Barrett's horny sponge)	519541	Eukaryota; Metazoa; Porifera; Demospongiae; Heteroscleromorpha; Tetractinellida; Astrophorina; Geodiidae; Geodia	unreviewed	Chlorinase MJ1651	GBAR_LOCUS18075	3: Inferred from homology	1.0	284	665	1.1e-40	137.7	0.6534	0.5775	2	https://rest.uniprot.org/uniprotkb/A0AA35WYZ5.json
A0A1R2CBJ5	A0A1R2CBJ5_9CILI	Stentor coeruleus	5963	Eukaryota; Sar; Alveolata; Ciliophora; Postciliodesmatophora; Heterotrichea; Heterotrichida; Stentoridae; Stentor	unreviewed	SAM-dependent chlorinase/fluorinase	SteCoe_12095	3: Inferred from homology	1.0	258	189	6.7e-50	167.9	0.9721	0.9651	1	https://rest.uniprot.org/uniprotkb/A0A1R2CBJ5.json
