target_id	accession	short_name	annotation_group	domain_count	domain_pattern	full_evalue	full_score	best_domain_evalue	best_domain_score	curation_decision	curation_rationale	domain_spans	description
sp|O58212|RSAMH_PYRHO	O58212	RSAMH_PYRHO	SAM_hydrolase	1	single_domain_match	2e-103	350.1	2.2e-103	350.0	include	reviewed SAM hydrolase-like hit with broad domain-level match	hmm:3-248;ali:2-253	(R)-S-adenosyl-L-methionine hydrolase OS=Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) OX=70601 GN=PH0463 PE=1 SV=1
sp|Q5SLF5|RSAMH_THET8	Q5SLF5	RSAMH_THET8	SAM_hydrolase	1	single_domain_match	5.9e-88	299.4	6.7e-88	299.3	include	reviewed SAM hydrolase-like hit with broad domain-level match	hmm:3-248;ali:4-254	(R)-S-adenosyl-L-methionine hydrolase OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) OX=300852 GN=TTHA0338 PE=1 SV=1
sp|Q70GK9|FLA_STRCT	Q70GK9	FLA_STRCT	fluorinase	2	split_domain_match	5.5e-86	293.0	2e-45	160.2	include_with_caution	reviewed fluorinase hit, but JackHMMER split the match into two domains	hmm:3-85;ali:11-93 | hmm:81-248;ali:112-296	Fluorinase OS=Streptantibioticus cattleyicolor OX=29303 GN=flA PE=1 SV=1
sp|A0A1G9FQX8|FLA_ACTMZ	A0A1G9FQX8	FLA_ACTMZ	fluorinase	2	split_domain_match	4e-85	290.2	8.2e-46	161.4	include_with_caution	reviewed fluorinase hit, but JackHMMER split the match into two domains	hmm:3-84;ali:10-91 | hmm:81-248;ali:111-296	Fluorinase OS=Actinopolyspora mzabensis OX=995066 GN=SAMN04487820_1174 PE=1 SV=1
sp|W0W999|FLA_STRSQ	W0W999	FLA_STRSQ	fluorinase	2	split_domain_match	6.4e-85	289.5	3.9e-45	159.2	include_with_caution	reviewed fluorinase hit, but JackHMMER split the match into two domains	hmm:3-85;ali:11-93 | hmm:82-248;ali:113-296	Fluorinase OS=Streptomyces sp. OX=1931 GN=flA1 PE=1 SV=1
sp|R4LHX8|FLA_ACTS9	R4LHX8	FLA_ACTS9	fluorinase	2	split_domain_match	1.2e-83	285.3	4.8e-44	155.6	include_with_caution	reviewed fluorinase hit, but JackHMMER split the match into two domains	hmm:3-85;ali:9-91 | hmm:81-248;ali:110-295	Fluorinase OS=Actinoplanes sp. (strain N902-109) OX=649831 GN=flA3 PE=1 SV=2
sp|W8JNL4|FLA_NOCB7	W8JNL4	FLA_NOCB7	fluorinase	2	split_domain_match	2.6e-83	284.2	4.5e-45	158.9	include_with_caution	reviewed fluorinase hit, but JackHMMER split the match into two domains	hmm:3-83;ali:11-91 | hmm:80-248;ali:111-297	Fluorinase OS=Nocardia brasiliensis (strain ATCC 700358 / HUJEG-1) OX=1133849 GN=flA2 PE=1 SV=1
sp|A4X3Q0|SALL_SALTO	A4X3Q0	SALL_SALTO	SalL_chlorinase_related	1	reference_relevant	6e-79	269.9	1.1e-78	269.0	include	SalL/chlorinase-related reviewed hit; useful as a key reference but not proof of O67940 specificity	hmm:3-247;ali:6-268	Adenosyl-chloride synthase OS=Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440) OX=369723 GN=salL PE=1 SV=1
sp|A4X4S2|RSAMH_SALTO	A4X4S2	RSAMH_SALTO	SAM_hydrolase	1	single_domain_match	2.2e-78	268.1	2.8e-78	267.7	include	reviewed SAM hydrolase-like hit with broad domain-level match	hmm:3-248;ali:7-258	(R)-S-adenosyl-L-methionine hydrolase OS=Salinispora tropica (strain ATCC BAA-916 / DSM 44818 / JCM 13857 / NBRC 105044 / CNB-440) OX=369723 GN=Strop_1405 PE=1 SV=1
sp|A8M783|RSAMH_SALAI	A8M783	RSAMH_SALAI	SAM_hydrolase	1	single_domain_match	3.1e-78	267.6	4e-78	267.2	include	reviewed SAM hydrolase-like hit with broad domain-level match	hmm:3-248;ali:7-258	(R)-S-adenosyl-L-methionine hydrolase OS=Salinispora arenicola (strain CNS-205) OX=391037 GN=Sare_1364 PE=1 SV=1
sp|Q59045|RSAMH_METJA	Q59045	RSAMH_METJA	SAM_hydrolase	1	single_domain_match	1.7e-70	242.2	2.6e-70	241.7	include	reviewed SAM hydrolase-like hit with broad domain-level match	hmm:3-248;ali:13-261	(R)-S-adenosyl-L-methionine hydrolase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1651 PE=1 SV=1
