identity_threshold	size_rank	representative	cluster_size	contains_O67940	reviewed_anchor_count	non_prokaryotic_count
0.95	1	A0A7K0FWI1	31	no	0	0
0.95	2	A0A1B8ZR74	26	no	0	0
0.95	3	A0ABV8W5F2	17	no	0	0
0.95	4	A0ABT9SM42	13	no	0	0
0.95	5	A0A066UI16	12	no	0	0
0.95	6	A0A0H2ZRK5	11	no	0	0
0.95	7	A0AAE6MHM1	11	no	0	0
0.95	8	A0A381F939	10	no	0	0
0.95	9	A0A4U9UFE2	10	no	0	0
0.95	10	B7LU42	10	no	0	0
0.95	11	A0A1G8M9Q5	9	no	0	0
0.95	12	A0A380L5E1	9	no	0	0
0.95	13	A0A9N8P3M8	9	no	0	0
0.95	14	A0AAW6TSV1	9	no	0	0
0.95	15	A0ABS3EV73	9	no	0	0
0.95	16	A0ABU0XYC7	9	no	0	0
0.95	17	A0A1B9DZC8	8	no	0	0
0.95	18	A0ABM6Z998	8	no	0	0
0.95	19	A0A4Q6XSL0	7	no	0	0
0.95	20	A0A6J4G7V2	7	no	0	0
0.90	1	A0A1H1G2U0	36	no	0	0
0.90	2	A0ABX7QEL0	35	no	0	0
0.90	3	A0ABM5NLJ4	34	no	0	0
0.90	4	A0A7K0FWI1	32	no	0	0
0.90	5	A0AAD1DPF8	30	no	0	0
0.90	6	A0A1M5KNS7	25	no	0	0
0.90	7	A0ABX4BKH5	23	no	0	0
0.90	8	A0A1M7PBC1	22	no	0	0
0.90	9	A0ABX1BKW3	22	no	0	0
0.90	10	A0ABS8MBM0	19	no	0	0
0.90	11	A0A085Z916	18	no	0	0
0.90	12	A0A6I8M2N5	18	no	0	0
0.90	13	A0A4Y8A6V3	17	no	0	0
0.90	14	A0A5S5DRV2	15	no	0	0
0.90	15	A0A0S3KCG0	14	no	0	0
0.90	16	A0A433W9K5	14	no	0	0
0.90	17	B7LU42	13	no	0	0
0.90	18	A0A1M6TVJ3	12	no	0	0
0.90	19	A0A1N7GCT9	12	no	0	0
0.90	20	A0A6G7J4B7	12	no	0	0
0.80	1	A0A4Y8A6V3	62	no	0	0
0.80	2	A0A1H1G2U0	57	no	0	0
0.80	3	A0A5D0HMP1	52	no	0	0
0.80	4	A0ABP5PX96	50	no	0	0
0.80	5	A0ABS5AXW4	47	no	0	0
0.80	6	A0A495RZF4	37	no	0	0
0.80	7	A0A1L3J2L0	36	no	0	0
0.80	8	A0A923DYM3	35	no	0	0
0.80	9	A0ABU7W6R2	35	no	0	0
0.80	10	A0ABX7QEL0	35	no	0	0
0.80	11	A0ABP7QMS0	32	no	0	0
0.80	12	A0ABM7LSX7	30	no	0	0
0.80	13	A0A2X3VP54	29	no	0	0
0.80	14	R2TB42	29	no	0	0
0.80	15	A0ABW4XTF9	28	no	0	0
0.80	16	A0A3G6TUY0	27	no	0	0
0.80	17	K1JD17	27	no	0	0
0.80	18	A0ABX4BKH5	26	no	0	0
0.80	19	A0A418PPI2	25	no	0	0
0.80	20	A0A6L5QMB5	25	no	0	0
0.70	1	A0A562YBF4	64	no	0	0
0.70	2	A0A934UMK5	59	no	0	0
0.70	3	A0ABW7SE16	58	no	2	0
0.70	4	A0A2R5G397	57	no	0	0
0.70	5	D7VH62	55	no	0	0
0.70	6	A0ABW4GJS9	53	no	0	0
0.70	7	A0A7H9ATC1	48	no	0	0
0.70	8	A0ABV6QBU5	48	no	0	0
0.70	9	A0ABS5AXW4	47	no	0	0
0.70	10	A0A495RZF4	45	no	0	0
0.70	11	A0A6N8J6I5	44	no	0	0
0.70	12	R2TB42	43	no	0	0
0.70	13	A0ABX7QEL0	39	no	0	0
0.70	14	A0AA41H4S5	38	no	0	0
0.70	15	A0ABU3CX99	37	no	0	0
0.70	16	A0ABX6KMB7	37	no	0	0
0.70	17	A0A318UYT7	36	no	0	0
0.70	18	A0ABU0ZLV2	36	no	0	0
0.70	19	A0A931BYM3	34	no	0	0
0.70	20	A0A1I2W9V5	33	no	0	0
