identity_threshold	accession	representative	cluster_size	is_representative	cluster_contains_other_euk	other_euk_accessions
0.95	A0A1R2CBJ5	A0A1R2CBJ5	1	yes	no	
0.95	A0AA35R949	A0AA35R949	1	yes	no	
0.95	A0AA35STV5	A0AA35STV5	1	yes	no	
0.95	A0AA35W2T7	A0AA35W2T7	1	yes	no	
0.95	A0AA35WYZ5	A0AA35WYZ5	1	yes	no	
0.95	A0AAU9JH50	A0AAU9JH50	1	yes	no	
0.95	A0ABQ0DRK1	A0ABQ0DRK1	2	yes	yes	C4M0V6
0.95	B0E8J3	B0E8J3	1	yes	no	
0.95	C4M0V6	A0ABQ0DRK1	2	no	yes	A0ABQ0DRK1
0.95	L7FJS4	L7FJS4	1	yes	no	
0.90	A0A1R2CBJ5	A0A1R2CBJ5	1	yes	no	
0.90	A0AA35R949	A0AA35R949	1	yes	no	
0.90	A0AA35STV5	A0AA35STV5	1	yes	no	
0.90	A0AA35W2T7	A0AA35W2T7	1	yes	no	
0.90	A0AA35WYZ5	A0AA35WYZ5	1	yes	no	
0.90	A0AAU9JH50	A0AAU9JH50	1	yes	no	
0.90	A0ABQ0DRK1	A0ABQ0DRK1	3	yes	yes	B0E8J3,C4M0V6
0.90	B0E8J3	A0ABQ0DRK1	3	no	yes	A0ABQ0DRK1,C4M0V6
0.90	C4M0V6	A0ABQ0DRK1	3	no	yes	A0ABQ0DRK1,B0E8J3
0.90	L7FJS4	L7FJS4	1	yes	no	
0.80	A0A1R2CBJ5	A0A1R2CBJ5	1	yes	no	
0.80	A0AA35R949	A0AA35R949	1	yes	no	
0.80	A0AA35STV5	A0AA35STV5	1	yes	no	
0.80	A0AA35W2T7	A0AA35W2T7	1	yes	no	
0.80	A0AA35WYZ5	A0AA35WYZ5	1	yes	no	
0.80	A0AAU9JH50	A0AAU9JH50	1	yes	no	
0.80	A0ABQ0DRK1	A0ABQ0DRK1	3	yes	yes	B0E8J3,C4M0V6
0.80	B0E8J3	A0ABQ0DRK1	3	no	yes	A0ABQ0DRK1,C4M0V6
0.80	C4M0V6	A0ABQ0DRK1	3	no	yes	A0ABQ0DRK1,B0E8J3
0.80	L7FJS4	L7FJS4	1	yes	no	
0.70	A0A1R2CBJ5	A0A1R2CBJ5	1	yes	no	
0.70	A0AA35R949	A0AA35R949	1	yes	no	
0.70	A0AA35STV5	A0AA35STV5	1	yes	no	
0.70	A0AA35W2T7	A0AA35W2T7	1	yes	no	
0.70	A0AA35WYZ5	A0AA35WYZ5	1	yes	no	
0.70	A0AAU9JH50	A0AAU9JH50	1	yes	no	
0.70	A0ABQ0DRK1	A0ABQ0DRK1	3	yes	yes	B0E8J3,C4M0V6
0.70	B0E8J3	A0ABQ0DRK1	3	no	yes	A0ABQ0DRK1,C4M0V6
0.70	C4M0V6	A0ABQ0DRK1	3	no	yes	A0ABQ0DRK1,B0E8J3
0.70	L7FJS4	L7FJS4	1	yes	no	
